Date,Returns
2008-11-11 00:00:00+00:00,-0.01157737
2008-11-12 00:00:00+00:00,-0.049066398
2008-11-13 00:00:00+00:00,0.070129251
2008-11-14 00:00:00+00:00,-0.064288754
2008-11-17 00:00:00+00:00,-0.023271188
2008-11-18 00:00:00+00:00,0.020081412
2008-11-19 00:00:00+00:00,-0.040262056
2008-11-20 00:00:00+00:00,-0.067215205
2008-11-21 00:00:00+00:00,0.025965715
2008-11-24 00:00:00+00:00,0.125575272
2008-11-25 00:00:00+00:00,-0.023130795
2008-11-26 00:00:00+00:00,0.046255416
2008-11-28 00:00:00+00:00,-0.02452649
2008-12-01 00:00:00+00:00,-0.040358253
2008-12-02 00:00:00+00:00,0.039806856
2008-12-03 00:00:00+00:00,0.037092986
2008-12-04 00:00:00+00:00,-0.046819644
2008-12-05 00:00:00+00:00,0.028334088
2008-12-08 00:00:00+00:00,0.060850811
2008-12-09 00:00:00+00:00,0.003409582
2008-12-10 00:00:00+00:00,-0.01848876
2008-12-11 00:00:00+00:00,-0.032685131
2008-12-12 00:00:00+00:00,0.034421323
2008-12-15 00:00:00+00:00,-0.035819601
2008-12-16 00:00:00+00:00,0.007176351
2008-12-17 00:00:00+00:00,-0.065702518
2008-12-18 00:00:00+00:00,0.003028501
2008-12-19 00:00:00+00:00,0.006373391
2008-12-22 00:00:00+00:00,-0.047333194
2008-12-23 00:00:00+00:00,0.007464362
2008-12-24 00:00:00+00:00,-0.015512938
2008-12-26 00:00:00+00:00,0.009054604
2008-12-29 00:00:00+00:00,0.009322611
2008-12-30 00:00:00+00:00,-0.003694053
2008-12-31 00:00:00+00:00,-0.010893968
2009-01-02 00:00:00+00:00,0.063268849
2009-01-05 00:00:00+00:00,0.042203898
2009-01-06 00:00:00+00:00,-0.016493529
2009-01-07 00:00:00+00:00,-0.021608883
2009-01-08 00:00:00+00:00,0.018569463
2009-01-09 00:00:00+00:00,-0.02286946
2009-01-12 00:00:00+00:00,-0.021196378
2009-01-13 00:00:00+00:00,-0.010715318
2009-01-14 00:00:00+00:00,-0.027134525
2009-01-15 00:00:00+00:00,-0.022852549
2009-01-16 00:00:00+00:00,-0.012592899
2009-01-20 00:00:00+00:00,-0.050164179
2009-01-21 00:00:00+00:00,0.059207364
2009-01-22 00:00:00+00:00,0.066762911
2009-01-23 00:00:00+00:00,0.0
2009-01-26 00:00:00+00:00,0.014486248
2009-01-27 00:00:00+00:00,0.01215967
2009-01-28 00:00:00+00:00,0.03824545
2009-01-29 00:00:00+00:00,-0.012738722
2009-01-30 00:00:00+00:00,-0.030859995
2009-02-02 00:00:00+00:00,0.01531047
2009-02-03 00:00:00+00:00,0.01606392
2009-02-04 00:00:00+00:00,0.006130313
2009-02-05 00:00:00+00:00,0.031106627
2009-02-06 00:00:00+00:00,0.033796384
2009-02-09 00:00:00+00:00,0.027978523
2009-02-10 00:00:00+00:00,-0.045654001
2009-02-11 00:00:00+00:00,-0.010324428
2009-02-12 00:00:00+00:00,0.025304846
2009-02-13 00:00:00+00:00,-0.001107639
2009-02-17 00:00:00+00:00,-0.046692438
