Date,Log Return
2017/8/24,-0.004447563
2017/8/25,0.003696981
2017/8/28,0.010021306
2017/8/29,0.008878178
2017/8/30,0.002697516
2017/8/31,0.003971326
2017/9/1,0.00030485
2017/9/5,-0.012081195
2017/9/6,-0.001049437
2017/9/7,-0.004022793
2017/9/8,-0.01644352
2017/9/11,0.017930903
2017/9/12,-0.003970774
2017/9/13,-0.007551235
2017/9/14,-0.008617546
2017/9/15,0.010057593
2017/9/18,-0.007597085
2017/9/19,0.000378074
2017/9/20,-0.01689966
2017/9/21,-0.017321048
2017/9/22,-0.009827173
2017/9/25,-0.008861113
2017/9/26,0.017057027
2017/9/27,0.007092478
2017/9/28,-0.006178518
2017/9/29,0.005464916
2017/10/2,-0.002013438
2017/10/3,0.004346569
2017/10/4,-0.006494018
2017/10/5,0.012367793
2017/10/6,-0.000579411
2017/10/9,0.003470918
2017/10/10,0.000384834
2017/10/11,0.004161022
2017/10/12,-0.003519753
2017/10/13,0.006326497
2017/10/16,0.018241088
2017/10/17,0.003683815
2017/10/18,-0.004434664
2017/10/19,-0.023944812
2017/10/20,0.001729347
2017/10/23,-0.000511891
2017/10/24,0.005937469
2017/10/25,-0.004402062
2017/10/26,0.006373376
2017/10/27,0.035202906
2017/10/30,0.022258756
2017/10/31,0.013819813
2017/11/1,-0.012800443
2017/11/2,0.007283618
2017/11/3,0.025778442
2017/11/6,0.010094036
2017/11/7,0.003208512
2017/11/8,0.008147274
2017/11/9,-0.00204486
2017/11/10,-0.003315162
2017/11/13,-0.004015586
2017/11/14,-0.015232925
2017/11/15,-0.013277838
2017/11/16,0.011876038
2017/11/17,-0.005567816
2017/11/20,-0.000999582
2017/11/21,0.018419686
2017/11/22,0.010457023
2017/11/24,5.70E-05
2017/11/27,-0.00504231
2017/11/28,-0.005875873
2017/11/29,-0.020961434
2017/11/30,0.013887278
2017/12/1,-0.004666281
2017/12/4,-0.007334745
2017/12/5,-0.000942634
2017/12/6,-0.003720504
2017/12/7,0.001832471
2017/12/8,0.000295172
2017/12/11,0.019296705
2017/12/12,-0.005633738
2017/12/13,0.003314399
2017/12/14,-0.000290296
2017/12/15,0.010110176
2017/12/18,0.013984748
2017/12/19,-0.010713712
2017/12/20,-0.001089064
2017/12/21,0.00377855
2017/12/22,0
2017/12/26,-0.02569767
2017/12/27,0.000175854
2017/12/28,0.002809648
2017/12/29,-0.010872607
2018/1/2,0.017746264
2018/1/3,-0.000173971
2018/1/4,0.004634196
2018/1/5,0.011320994
2018/1/8,-0.003721258
2018/1/9,-0.000114649
2018/1/10,-0.000229801
2018/1/11,0.005664383
2018/1/12,0.01027321
2018/1/16,-0.005095143
2018/1/17,0.016381341
2018/1/18,0.000893138
2018/1/19,-0.004472779
2018/1/22,-0.008214868
2018/1/23,0.000225826
2018/1/24,-0.016056668
2018/1/25,-0.018012185
2018/1/26,0.00233476
2018/1/29,-0.020915516
2018/1/30,-0.005911979
2018/1/31,0.002751561
2018/2/1,0.002088135
2018/2/2,-0.044359654
2018/2/5,-0.025301689
2018/2/6,0.040941793
2018/2/7,-0.021639473
2018/2/8,-0.02790222
2018/2/9,0.012156855
2018/2/12,0.039489118
2018/2/13,0.009967838
2018/2/14,0.018269546
2018/2/15,0.033026825
2018/2/16,-0.003242249
2018/2/20,-0.003369377
2018/2/21,-0.004549401
2018/2/22,0.008324261
2018/2/23,0.017242121
2018/2/26,0.0195791
2018/2/27,-0.003245781
2018/2/28,-0.001515038
2018/3/1,-0.017671293
2018/3/2,0.006890404
2018/3/5,0.003455762
2018/3/6,-0.000848554
2018/3/7,-0.009326261
2018/3/8,0.010853542
2018/3/9,0.01703475
2018/3/12,0.009621376
2018/3/13,-0.009677039
2018/3/14,-0.008537807
2018/3/15,0.001176379
2018/3/16,-0.003532753
2018/3/19,-0.01539696
2018/3/20,-0.000342481
2018/3/21,-0.022915189
2018/3/22,-0.014230427
2018/3/23,-0.02342909
2018/3/26,0.046379692
2018/3/27,-0.025975749
2018/3/28,-0.011110569
2018/3/29,0.007778418
2018/4/2,-0.006577972
2018/4/3,0.010207148
2018/4/4,0.018942095
2018/4/5,0.006910099
2018/4/6,-0.0259114
2018/4/9,0.009868992
2018/4/10,0.018643362
2018/4/11,-0.004686263
2018/4/12,0.009809975
2018/4/13,0.003382109
2018/4/16,0.006218982
2018/4/17,0.013670405
2018/4/18,-0.002246806
2018/4/19,-0.028749356
2018/4/20,-0.041835373
2018/4/23,-0.002900575
2018/4/24,-0.014017009
2018/4/25,0.00434813
2018/4/26,0.003477006
2018/4/27,-0.011637147
2018/4/30,0.017949874
2018/5/1,0.022970596
2018/5/2,0.043226734
2018/5/3,0.001810805
2018/5/4,0.038483605
2018/5/7,0.007209015
2018/5/8,0.004794843
2018/5/9,0.007016371
2018/5/10,0.014202671
2018/5/11,-0.003810508
2018/5/14,-0.002335964
2018/5/15,-0.009130022
2018/5/16,0.009289811
2018/5/17,-0.006343844
2018/5/18,-0.003643082
2018/5/21,0.00705996
2018/5/22,-0.002508134
2018/5/23,0.006390656
2018/5/24,-0.001115344
2018/5/25,0.002283217
2018/5/29,-0.003612652
2018/5/30,-0.002131121
2018/5/31,-0.003365675
2018/6/1,0.017873231
2018/6/4,0.00832339
2018/6/5,0.007685487
2018/6/6,0.003460032
2018/6/7,-0.002684397
2018/6/8,-0.009139063
2018/6/11,-0.002454903
2018/6/12,0.005475863
2018/6/13,-0.008251161
2018/6/14,0.00052443
2018/6/15,-0.010325885
2018/6/18,-0.000529704
2018/6/19,-0.016291777
2018/6/20,0.004352547
2018/6/21,-0.005591808
2018/6/22,-0.002915817
2018/6/25,-0.014983183
2018/6/26,0.012329684
2018/6/27,-0.001464901
2018/6/28,0.007249775
2018/6/29,-0.002104551
2018/7/2,0.011120179
2018/7/3,-0.017569574
2018/7/5,0.008014876
2018/7/6,0.013766498
2018/7/9,0.013789871
2018/7/10,-0.001207613
2018/7/11,-0.013061211
2018/7/12,0.01662711
2018/7/13,0.001569162
2018/7/16,-0.002197585
2018/7/17,0.002824628
2018/7/18,-0.005499584
2018/7/19,0.007743071
2018/7/20,-0.002295697
2018/7/23,0.000887545
2018/7/24,0.007228111
2018/7/25,0.009385833
2018/7/26,-0.003135906
