Date,Close/Last,Volume,Open,High,Low
12/19/2023,$185.75,3978288,$183.21,$185.77,$183.19
12/18/2023,$182.76,2814390,$181.38,$182.84,$181.03
12/15/2023,$180.51,7139394,$177.54,$181.18,$177.4981
12/14/2023,$178.86,4548159,$175.74,$179.90,$175.60
12/13/2023,$174.56,3207685,$171.21,$174.66,$170.145
12/12/2023,$171.04,2946386,$168.39,$171.08,$167.77
12/11/2023,$168.39,2811552,$168.40,$169.5144,$167.86
12/08/2023,$168.43,2681333,$168.34,$169.1331,$167.57
12/07/2023,$168.62,2797101,$168.46,$169.22,$167.74
12/06/2023,$167.51,3890679,$171.73,$172.38,$167.175
12/05/2023,$170.68,6452483,$172.10,$172.71,$165.93
12/04/2023,$173.25,3630974,$172.86,$175.31,$172.66
12/01/2023,$173.76,3412216,$170.67,$174.335,$170.31
11/30/2023,$170.77,4253144,$168.00,$171.165,$167.53
11/29/2023,$167.43,2720166,$166.40,$168.72,$166.40
11/28/2023,$165.66,2117827,$163.92,$165.98,$163.61
11/27/2023,$164.04,2146495,$163.76,$164.515,$163.32
11/24/2023,$164.42,950727,$164.56,$165.22,$163.97
11/22/2023,$163.79,2528342,$163.28,$164.675,$162.85
11/21/2023,$162.29,2759757,$163.65,$164.12,$161.725
11/20/2023,$163.85,3243290,$162.91,$164.65,$162.76
11/17/2023,$162.56,2976093,$159.91,$162.58,$159.91
11/16/2023,$159.05,3749347,$159.65,$160.105,$157.97
11/15/2023,$159.43,3272576,$157.53,$159.44,$157.00
11/14/2023,$156.91,2968810,$156.60,$157.915,$156.03
11/13/2023,$154.34,1753790,$154.08,$155.26,$153.50
11/10/2023,$154.38,2088296,$153.04,$154.48,$152.1001
11/09/2023,$152.37,2053114,$153.68,$154.16,$152.05
11/08/2023,$153.01,1804516,$152.97,$153.80,$152.43
11/07/2023,$152.98,1583345,$152.97,$153.79,$152.35
11/06/2023,$152.99,2490095,$152.60,$153.07,$151.511
11/03/2023,$152.76,2667678,$152.58,$153.88,$152.40
11/02/2023,$150.85,3108435,$148.33,$150.91,$148.33
11/01/2023,$146.45,2332560,$146.49,$146.815,$145.1423
10/31/2023,$146.03,3737159,$143.33,$146.68,$143.065
10/30/2023,$143.27,3303288,$142.72,$143.8601,$141.73
10/27/2023,$141.31,3442469,$143.85,$143.96,$141.025
10/26/2023,$143.34,3377961,$143.37,$144.91,$142.99
10/25/2023,$143.52,2841446,$144.09,$144.8399,$143.2301
10/24/2023,$144.42,3521130,$145.85,$146.515,$143.545
10/23/2023,$144.59,5313471,$141.50,$145.8525,$140.91
10/20/2023,$141.57,8268104,$144.70,$147.94,$141.44
10/19/2023,$149.62,4642175,$150.41,$156.05,$149.01
10/18/2023,$151.53,2632184,$153.12,$153.59,$151.13
10/17/2023,$154.39,3919446,$151.56,$154.73,$151.50
10/16/2023,$152.79,2586319,$152.37,$153.41,$151.205
10/13/2023,$151.10,2951839,$152.92,$154.14,$150.4303
10/12/2023,$151.28,2377315,$152.50,$152.72,$150.11
10/11/2023,$151.51,1727049,$151.425,$152.81,$149.76
10/10/2023,$150.93,2909235,$149.50,$151.73,$149.00
10/09/2023,$148.82,2279497,$147.60,$149.45,$147.42
10/06/2023,$149.32,3204743,$146.71,$150.35,$146.14
10/05/2023,$147.09,2706169,$145.58,$147.54,$144.77
10/04/2023,$146.63,3476795,$145.90,$146.92,$144.40
10/03/2023,$145.05,4184132,$148.50,$149.18,$144.31
10/02/2023,$149.48,2657671,$148.42,$149.90,$148.072
09/29/2023,$149.19,3579475,$151.45,$151.69,$148.67
09/28/2023,$150.23,3489905,$149.77,$150.88,$149.02
